time,Gphi,Gpsi,Ggamma,mass,Px,Py,Pz,Vx,Vy,Vz,Ma,H,semi_major_axis,time_to_go 
147.797000,31.304200,-0.450000,0.000000,121145.519337,93391.894462,76158.380708,-64436.683702,2176.570876,1175.834851,-430.753090,0.000000,77171.614926,3400138.409995,328.328187,
147.798000,31.304200,-0.450000,0.000000,121145.210258,93394.071037,76159.556541,-64437.114455,2176.577861,1175.829614,-430.752929,0.000000,77172.826536,3400139.605782,328.328187,
147.799000,31.304200,-0.450000,0.000000,121144.901179,93396.247618,76160.732368,-64437.545208,2176.584846,1175.824377,-430.752769,0.000000,77174.038142,3400140.801575,328.328187,
147.800000,31.304200,-0.450000,0.000000,121144.592100,93398.424207,76161.908189,-64437.975961,2176.591831,1175.819140,-430.752608,0.000000,77175.249744,3400141.997373,328.328187,
147.801000,31.354200,-0.500000,0.000000,121144.283021,93400.600802,76163.084006,-64438.406713,2176.598812,1175.813909,-430.752440,0.000000,77176.461342,3400143.192931,328.318365,
147.802000,31.354200,-0.500000,0.000000,121143.973942,93402.777404,76164.259817,-64438.837465,2176.605793,1175.808679,-430.752272,0.000000,77177.672935,3400144.388496,328.318365,
147.803000,31.354200,-0.500000,0.000000,121143.664863,93404.954013,76165.435623,-64439.268218,2176.612774,1175.803448,-430.752104,0.000000,77178.884523,3400145.584065,328.318365,
147.804000,31.354200,-0.500000,0.000000,121143.355784,93407.130630,76166.611424,-64439.698970,2176.619755,1175.798217,-430.751936,0.000000,77180.096107,3400146.779641,328.318365,
147.805000,31.354200,-0.500000,0.000000,121143.046705,93409.307253,76167.787220,-64440.129722,2176.626737,1175.792987,-430.751768,0.000000,77181.307687,3400147.975221,328.318365,
147.806000,31.354200,-0.500000,0.000000,121142.737626,93411.483883,76168.963010,-64440.560473,2176.633718,1175.787756,-430.751600,0.000000,77182.519263,3400149.170807,328.318365,
147.807000,31.354200,-0.500000,0.000000,121142.428547,93413.660520,76170.138795,-64440.991225,2176.640699,1175.782525,-430.751432,0.000000,77183.730834,3400150.366399,328.318365,
147.808000,31.354200,-0.500000,0.000000,121142.119468,93415.837165,76171.314575,-64441.421976,2176.647680,1175.777295,-430.751263,0.000000,77184.942401,3400151.561996,328.318365,
