time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass,altitude,delta_pos_x,delta_pos_y,delta_pos_z,delta_vel_x,delta_vel_y,delta_vel_z,phi_deg,psi_deg,time_to_go,sma,eccentricity,inclination_deg,target_sma,target_ecc,target_inc_deg
180.8,164066.0679,103609.6119,-61523.83305,2458.190588,843.0543405,-316.5939175,111350.205,106983.5058,-1263768.832,58387.41192,92289.46695,-5218.861912,2582.184841,-26.56841749,20.57327859,-3.372764358,286.7457776,3429237.664,0.9030111725,93.46855956,6740599.4,0.02402729,97.461979
181.8,166528.4361,104449.5328,-61840.11027,2466.55023,836.7873057,-315.9613407,111033.26,107889.0549,-1261306.464,59227.33282,91973.18973,-5210.50227,2575.917806,-25.93584066,20.48709621,-3.329734408,285.7517907,3430642.542,0.9023519204,93.49810179,6740599.4,0.02402729,97.461979
182.8,168999.1772,105283.1862,-62155.75739,2474.936236,830.5193799,-315.3337272,110716.315,108789.4864,-1258835.723,60060.98624,91657.54261,-5202.116264,2569.64988,-25.30822715,20.4007926,-3.286732648,284.7578074,3432055.948,0.9016879533,93.52742581,6740599.4,0.02402729,97.461979
183.8,171478.3174,106110.5713,-62470.77938,2483.34875,824.2504993,-314.7111046,110399.37,109684.8094,-1256356.583,60888.37126,91342.52062,-5193.70375,2563.380999,-24.68560464,20.31436761,-3.243759491,283.7638275,3433477.968,0.9010192347,93.55653254,6740599.4,0.02402729,97.461979
184.8,173965.8835,106931.6869,-62785.18127,2491.787916,817.9805992,-314.0935009,110082.425,110575.0331,-1253869.016,61709.4869,91028.11873,-5185.264584,2557.111099,-24.06800094,20.22782111,-3.200815352,282.769851,3434908.687,0.9003457277,93.58542289,6740599.4,0.02402729,97.461979
185.8,176461.9022,107746.5321,-63098.96807,2500.253881,811.709615,-313.480944,109765.48,111460.1663,-1251372.998,62524.3321,90714.33193,-5176.798619,2550.840115,-23.45544401,20.14115296,-3.157900651,281.7758779,3436348.193,0.8996673949,93.61409778,6740599.4,0.02402729,97.461979
186.8,178966.4003,108555.1057,-63412.14485,2508.746793,805.4374813,-312.873462,109448.535,112340.2183,-1248868.5,63332.90574,90401.15515,-5168.305707,2544.567981,-22.84796197,20.05436303,-3.115015816,280.7819082,3437796.575,0.8989841988,93.64255812,6740599.4,0.02402729,97.461979
187.8,181479.4048,109357.4067,-63724.71669,2517.2668,799.1641327,-312.2710831,109131.59,113215.1982,-1246355.495,64135.20665,90088.58331,-5159.7857,2538.294633,-22.24558308,19.96745117,-3.072161279,279.7879419,3439253.922,0.8982961012,93.67080483,6740599.4,0.02402729,97.461979
188.8,184000.943,110153.4336,-64036.68872,2525.814051,792.8895032,-311.6738357,108814.645,114085.115,-1243833.957,64931.23358,89776.61128,-5151.238449,2532.020003,-21.64833575,19.88041725,-3.029337474,278.7939789,3440720.325,0.8976030639,93.69883881,6740599.4,0.02402729,97.461979
189.8,186531.0421,110943.1852,-64348.06609,2534.388699,786.6135263,-311.0817485,108497.7,114949.9779,-1241303.858,65720.98521,89465.23391,-5142.663801,2525.744026,-21.05624855,19.79326114,-2.986544845,277.8000192,3442195.875,0.896905048,93.72666096,6740599.4,0.02402729,97.461979
190.8,189069.7296,111726.6602,-64658.85395,2542.990895,780.3361353,-310.4948502,108180.755,115809.7961,-1238765.17,66504.46016,89154.44605,-5134.061605,2519.466635,-20.4693502,19.70598269,-2.943783839,276.8060629,3443680.666,0.8962020143,93.75427217,6740599.4,0.02402729,97.461979
191.8,191617.0331,112503.857,-64969.05753,2551.620794,774.0572631,-309.9131696,107863.81,116664.5787,-1236217.867,67281.65699,88844.24247,-5125.431706,2513.187763,-19.88766956,19.61858176,-2.901054908,275.8121099,3445174.792,0.8954939233,93.78167335,6740599.4,0.02402729,97.461979
192.8,194172.9804,113274.7742,-65278.68204,2560.278549,767.7768421,-309.3367357,107546.865,117514.3349,-1233661.92,68052.57417,88534.61796,-5116.773951,2506.907342,-19.31123567,19.53105821,-2.858358512,274.8181601,3446678.347,0.894780735,93.80886539,6740599.4,0.02402729,97.461979
193.8,196737.5995,114039.4101,-65587.73276,2568.964318,761.4948042,-308.7655777,107229.92,118359.0739,-1231097.3,68817.21013,88225.56724,-5108.088182,2500.625304,-18.7400777,19.44341191,-2.815695113,273.8242137,3448191.428,0.8940624091,93.83584916,6740599.4,0.02402729,97.461979
194.8,199310.9185,114797.7632,-65896.21496,2577.678258,755.2110812,-308.199725,106912.975,119198.8049,-1228523.982,69575.56322,87917.08504,-5099.374242,2494.341581,-18.17422501,19.35564271,-2.773065181,272.8302705,3449714.133,0.8933389048,93.86262557,6740599.4,0.02402729,97.461979
195.8,201892.9655,115549.8317,-66204.13398,2586.420528,748.9256041,-307.6392071,106596.03,120033.5372,-1225941.935,70327.63171,87609.16602,-5090.631972,2488.056104,-17.61370707,19.26775048,-2.730469192,271.8363305,3451246.56,0.8926101809,93.88919548,6740599.4,0.02402729,97.461979
196.8,204483.769,116295.6138,-66511.49517,2595.191289,742.6383037,-307.0840536,106279.085,120863.2801,-1223351.131,71073.41382,87301.80483,-5081.861211,2481.768804,-17.05855355,19.17973507,-2.687907628,270.8423938,3452788.809,0.8918761958,93.91555978,6740599.4,0.02402729,97.461979
197.8,207083.3576,117035.1077,-66818.30389,2603.990702,736.3491103,-306.5342943,105962.14,121688.0428,-1220751.542,71812.90769,86994.99611,-5073.061798,2475.47961,-16.50879427,19.09159635,-2.645380974,269.8484603,3454340.982,0.8911369076,93.94171934,6740599.4,0.02402729,97.461979
198.8,209691.76,117768.3114,-67124.56556,2612.81893,730.0579538,-305.9899592,105645.195,122507.8346,-1218143.14,72546.11138,86688.73444,-5064.23357,2469.188454,-15.96445921,19.00333416,-2.602889725,268.8545301,3455903.18,0.8903922737,93.96767504,6740599.4,0.02402729,97.461979
199.8,212309.0051,118495.2229,-67430.28563,2621.676138,723.7647635,-305.4510785,105328.25,123322.6648,-1215525.895,73273.02292,86383.01437,-5055.376362,2462.895264,-15.4255785,18.91494837,-2.56043438,267.8606031,3457475.507,0.8896422513,93.99342773,6740599.4,0.02402729,97.461979
200.8,214935.122,119215.8402,-67735.46955,2630.562493,717.4694685,-304.9176824,105011.305,124132.5428,-1212899.778,73993.64021,86077.83045,-5046.490007,2456.599969,-14.89218244,18.82643884,-2.518015445,266.8666793,3459058.068,0.888886797,94.01897829,6740599.4,0.02402729,97.461979
201.8,217570.1399,119930.1611,-68040.12283,2639.47816,711.1719973,-304.3898015,104694.36,124937.4779,-1210264.76,74707.96113,85773.17717,-5037.57434,2450.302497,-14.36430151,18.73780541,-2.475633431,265.8727588,3460650.971,0.8881258671,94.04432757,6740599.4,0.02402729,97.461979
202.8,220214.0882,120638.1835,-68344.251,2648.42331,704.8722778,-303.8674663,104377.415,125737.4796,-1207620.812,75415.98345,85469.049,-5028.62919,2444.002778,-13.84196633,18.64904795,-2.433288856,264.8788414,3462254.321,0.8873594174,94.06947644,6740599.4,0.02402729,97.461979
203.8,222866.9964,121339.9049,-68647.85962,2657.398113,698.5702376,-303.3507077,104060.47,126532.5572,-1204967.904,76117.70491,85165.44038,-5019.654387,2437.700738,-13.32520771,18.56016632,-2.390982247,263.8849273,3463868.228,0.8865874031,94.09442574,6740599.4,0.02402729,97.461979
204.8,225528.8943,122035.3231,-68950.95428,2666.40274,692.265804,-302.8395566,103743.525,127322.7202,-1202306.006,76813.12313,84862.34572,-5010.64976,2431.396304,-12.81405662,18.47116036,-2.348714133,262.8910164,3465492.803,0.8858097793,94.11917633,6740599.4,0.02402729,97.461979
